word_id,arabic_word,subtoken_word,root,morphology,pos,lemma,verse_id,sura,ayah,word_position
2326,اسلم,أَسْلِمْ,سلم,IMPV|VF:4|2MS,V,أَسْلَمَ,138,2,131,5
2390,كونوا,كُونُ,كون,IMPV|VF:1|FAM:كَان|2MP,V,كانَ,142,2,135,2
2395,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,142,2,135,7
2404,قولوا,قُولُ,قول,IMPV|VF:1|2MP,V,قالَ,143,2,136,1
2464,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,146,2,139,1
2490,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,147,2,140,13
2534,قل,قُل,قول,IMPV|VF:1|2MS,V,قالَ,149,2,142,12
2598,فول,وَلِّ,ولي,IMPV|VF:2|2MS,V,وَلَّى,151,2,144,10
2606,فولوا,وَلُّ,ولي,IMPV|VF:2|2MP,V,وَلَّى,151,2,144,18
2680,فاستبقوا,ٱسْتَبِقُ,سبق,IMPV|VF:8|2MP,V,اسْتَبَقَ,155,2,148,5
2698,فول,وَلِّ,ولي,IMPV|VF:2|2MS,V,وَلَّى,156,2,149,4
2715,فول,وَلِّ,ولي,IMPV|VF:2|2MS,V,وَلَّى,157,2,150,4
2723,فولوا,وَلُّ,ولي,IMPV|VF:2|2MP,V,وَلَّى,157,2,150,12
2737,واخشونى,ٱخْشَ,خشي,IMPV|VF:1|2MP,V,خَشِيَ,157,2,150,26
2760,فاذكرونى,ٱذْكُرُ,ذكر,IMPV|VF:1|2MP,V,ذَكَرَ,159,2,152,1
2762,واشكروا,ٱشْكُرُ,شكر,IMPV|VF:1|2MP,V,شَكَرَ,159,2,152,3
2769,استعينوا,ٱسْتَعِينُ,عون,IMPV|VF:10|2MP,V,اسْتَعِينُ,160,2,153,4
2799,وبشر,بَشِّرِ,بشر,IMPV|VF:2|2MS,V,بُشِّرَ,162,2,155,11
3002,تبروا,تَبَرَّءُ,برأ,IMPV|VF:5|2MP,V,تَبَرَّأَ,174,2,167,11
3017,كلوا,كُلُ,أكل,IMPV|VF:1|2MP,V,أَكَلَ,175,2,168,3
3045,اتبعوا,ٱتَّبِعُ,تبع,IMPV|VF:8|2MP,V,اتَّبَعَ,177,2,170,4
3085,كلوا,كُلُ,أكل,IMPV|VF:1|2MP,V,أَكَلَ,179,2,172,4
3090,واشكروا,ٱشْكُرُ,شكر,IMPV|VF:1|2MP,V,شَكَرَ,179,2,172,9
3378,فليصمه,لْ,,IMPV|PREF,P,ل,192,2,185,17
3417,فليستجيبوا,لْ,,IMPV|PREF,P,ل,193,2,186,12
3419,وليؤمنوا,لْ,,IMPV|PREF,P,ل,193,2,186,14
3447,بشروهن,بَٰشِرُ,بشر,IMPV|VF:3|2MP,V,باشِرُ,194,2,187,25
3448,وابتغوا,ٱبْتَغُ,بغي,IMPV|VF:8|2MP,V,ابْتَغَى,194,2,187,26
3453,وكلوا,كُلُ,أكل,IMPV|VF:1|2MP,V,أَكَلَ,194,2,187,31
3454,واشربوا,ٱشْرَبُ,شرب,IMPV|VF:1|2MP,V,شَرِبَ,194,2,187,32
3466,اتموا,أَتِمُّ,تمم,IMPV|VF:4|2MP,V,أَتَمَّ,194,2,187,44
3508,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,196,2,189,4
3524,واتوا,أْتُ,أتي,IMPV|VF:1|2MP,V,أَتَى,196,2,189,20
3528,واتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,196,2,189,24
3532,وقتلوا,قَٰتِلُ,قتل,IMPV|VF:3|2MP,V,قاتَلَ,197,2,190,1
3545,واقتلوهم,ٱقْتُلُ,قتل,IMPV|VF:1|2MP,V,قَتَلَ,198,2,191,1
3548,واخرجوهم,أَخْرِجُ,خرج,IMPV|VF:4|2MP,V,أَخْرَجَ,198,2,191,4
3566,فاقتلوهم,ٱقْتُلُ,قتل,IMPV|VF:1|2MP,V,قَتَلَ,198,2,191,22
3576,وقتلوهم,قَٰتِلُ,قتل,IMPV|VF:3|2MP,V,قاتَلَ,200,2,193,1
3600,فاعتدوا,ٱعْتَدُ,عدو,IMPV|VF:8|2MP,V,اعْتَدَى,201,2,194,10
3606,واتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,201,2,194,16
3608,واعلموا,ٱعْلَمُ,علم,IMPV|VF:1|2MP,V,عَلِمَ,201,2,194,18
3613,وانفقوا,أَنفِقُ,نفق,IMPV|VF:4|2MP,V,أَنفَقَ,202,2,195,1
3622,واحسنوا,أَحْسِنُ,حسن,IMPV|VF:4|2MP,V,أَحْسَنَ,202,2,195,10
3627,واتموا,أَتِمُّ,تمم,IMPV|VF:4|2MP,V,أَتَمَّ,203,2,196,1
3693,واتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,203,2,196,67
3695,واعلموا,ٱعْلَمُ,علم,IMPV|VF:1|2MP,V,عَلِمَ,203,2,196,69
3721,وتزودوا,تَزَوَّدُ,زود,IMPV|VF:5|2MP,V,تَزَوَّدُ,204,2,197,22
3726,واتقون,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,204,2,197,27
3741,فاذكروا,ٱذْكُرُ,ذكر,IMPV|VF:1|2MP,V,ذَكَرَ,205,2,198,13
3746,واذكروه,ٱذْكُرُ,ذكر,IMPV|VF:1|2MP,V,ذَكَرَ,205,2,198,18
3756,افيضوا,أَفِيضُ,فيض,IMPV|VF:4|2MP,V,أَفاضَ,206,2,199,2
3761,واستغفروا,ٱسْتَغْفِرُ,غفر,IMPV|VF:10|2MP,V,اسْتَغْفَرَ,206,2,199,7
3770,فاذكروا,ٱذْكُرُ,ذكر,IMPV|VF:1|2MP,V,ذَكَرَ,207,2,200,4
3782,اتنا,ءَاتِ,أتي,IMPV|VF:4|2MS,V,آتَى,207,2,200,16
3795,اتنا,ءَاتِ,أتي,IMPV|VF:4|2MS,V,آتَى,208,2,201,5
3802,وقنا,قِ,وقي,IMPV|VF:1|2MS,V,وَقَى,208,2,201,12
3813,واذكروا,ٱذْكُرُ,ذكر,IMPV|VF:1|2MP,V,ذَكَرَ,210,2,203,1
3832,واتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,210,2,203,20
3834,واعلموا,ٱعْلَمُ,علم,IMPV|VF:1|2MP,V,عَلِمَ,210,2,203,22
3872,اتق,ٱتَّقِ,وقي,IMPV|VF:8|2MS,V,اتَّقَى,213,2,206,4
3895,ادخلوا,ٱدْخُلُ,دخل,IMPV|VF:1|2MP,V,دَخَلَ,215,2,208,4
3914,فاعلموا,ٱعْلَمُ,علم,IMPV|VF:1|2MP,V,عَلِمَ,216,2,209,8
3936,سل,سَلْ,سأل,IMPV|VF:1|2MS,V,سَأَلَ,218,2,211,1
4058,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,222,2,215,4
4108,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,224,2,217,7
4179,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,226,2,219,5
4192,قل,قُلِ,قول,IMPV|VF:1|2MS,V,قالَ,226,2,219,18
4207,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,227,2,220,7
4269,قل,قُلْ,قول,IMPV|VF:1|2MS,V,قالَ,229,2,222,4
4272,فاعتزلوا,ٱعْتَزِلُ,عزل,IMPV|VF:8|2MP,V,اعْتَزَلَ,229,2,222,7
4282,فاتوهن,أْتُ,أتي,IMPV|VF:1|2MP,V,أَتَى,229,2,222,17
4296,فاتوا,أْتُ,أتي,IMPV|VF:1|2MP,V,أَتَى,230,2,223,4
4300,وقدموا,قَدِّمُ,قدم,IMPV|VF:2|2MP,V,قَدَّمَ,230,2,223,8
4302,واتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,230,2,223,10
4304,واعلموا,ٱعْلَمُ,علم,IMPV|VF:1|2MP,V,عَلِمَ,230,2,223,12
4307,وبشر,بَشِّرِ,بشر,IMPV|VF:2|2MS,V,بُشِّرَ,230,2,223,15
4478,فامسكوهن,أَمْسِكُ,مسك,IMPV|VF:4|2MP,V,أَمْسَكَ,238,2,231,6
4481,سرحوهن,سَرِّحُ,سرح,IMPV|VF:2|2MP,V,سَرِّحُ,238,2,231,9
4498,واذكروا,ٱذْكُرُ,ذكر,IMPV|VF:1|2MP,V,ذَكَرَ,238,2,231,26
4510,واتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,238,2,231,38
4512,واعلموا,ٱعْلَمُ,علم,IMPV|VF:1|2MP,V,عَلِمَ,238,2,231,40
4607,واتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,240,2,233,57
4609,واعلموا,ٱعْلَمُ,علم,IMPV|VF:1|2MP,V,عَلِمَ,240,2,233,59
4674,واعلموا,ٱعْلَمُ,علم,IMPV|VF:1|2MP,V,عَلِمَ,242,2,235,35
4681,فاحذروه,ٱحْذَرُ,حذر,IMPV|VF:1|2MP,V,يَحْذَرُ,242,2,235,42
4682,واعلموا,ٱعْلَمُ,علم,IMPV|VF:1|2MP,V,عَلِمَ,242,2,235,43
4700,ومتعوهن,مَتِّعُ,متع,IMPV|VF:2|2MP,V,مَتَّعْ,243,2,236,14
4747,حفظوا,حَٰفِظُ,حفظ,IMPV|VF:3|2MP,V,يُحافِظُ,245,2,238,1
4752,وقوموا,قُومُ,قوم,IMPV|VF:1|2MP,V,قامَ,245,2,238,6
4762,فاذكروا,ٱذْكُرُ,ذكر,IMPV|VF:1|2MP,V,ذَكَرَ,246,2,239,8
4824,موتوا,مُوتُ,موت,IMPV|VF:1|2MP,V,ماتَ,250,2,243,15
4838,وقتلوا,قَٰتِلُ,قتل,IMPV|VF:3|2MP,V,قاتَلَ,251,2,244,1
4842,واعلموا,ٱعْلَمُ,علم,IMPV|VF:1|2MP,V,عَلِمَ,251,2,244,5
4877,ابعث,ٱبْعَثْ,بعث,IMPV|VF:1|2MS,V,بَعَثَ,253,2,246,15
5056,افرغ,أَفْرِغْ,فرغ,IMPV|VF:4|2MS,V,أَفْرِغْ,257,2,250,7
5059,وثبت,ثَبِّتْ,ثبت,IMPV|VF:2|2MS,V,ثَبَّتْ,257,2,250,10
5061,وانصرنا,ٱنصُرْ,نصر,IMPV|VF:1|2MS,V,نَصَرَ,257,2,250,12
5156,انفقوا,أَنفِقُ,نفق,IMPV|VF:4|2MP,V,أَنفَقَ,261,2,254,4
5303,فات,أْتِ,أتي,IMPV|VF:1|2MS,V,أَتَى,265,2,258,32
5351,فانظر,ٱنظُرْ,نظر,IMPV|VF:1|2MS,V,نَظَرَ,266,2,259,37
5357,وانظر,ٱنظُرْ,نظر,IMPV|VF:1|2MS,V,نَظَرَ,266,2,259,43
5363,وانظر,ٱنظُرْ,نظر,IMPV|VF:1|2MS,V,نَظَرَ,266,2,259,49
5386,ارنى,أَرِ,رأي,IMPV|VF:4|2MS,V,أَرَيْ,267,2,260,5
5399,فخذ,خُذْ,أخذ,IMPV|VF:1|2MS,V,أَخَذَ,267,2,260,18
5403,فصرهن,صُرْ,صور,IMPV|VF:1|2MS,V,صُرْ,267,2,260,22
5406,اجعل,ٱجْعَلْ,جعل,IMPV|VF:1|2MS,V,جَعَلَ,267,2,260,25
5413,ادعهن,ٱدْعُ,دعو,IMPV|VF:1|2MS,V,دَعا,267,2,260,32
5416,واعلم,ٱعْلَمْ,علم,IMPV|VF:1|2MS,V,عَلِمَ,267,2,260,35
5583,انفقوا,أَنفِقُ,نفق,IMPV|VF:4|2MP,V,أَنفَقَ,274,2,267,4
5604,واعلموا,ٱعْلَمُ,علم,IMPV|VF:1|2MP,V,عَلِمَ,274,2,267,25
5826,اتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,285,2,278,4
5828,وذروا,ذَرُ,وذر,IMPV|VF:1|2MP,V,يَذَرَ,285,2,278,6
5839,فاذنوا,أْذَنُ,أذن,IMPV|VF:1|2MP,V,أَذِنَ,286,2,279,4
5867,واتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,288,2,281,1
5891,فاكتبوه,ٱكْتُبُ,كتب,IMPV|VF:1|2MP,V,كَتَبَ,289,2,282,10
5892,وليكتب,لْ,,IMPV|PREF,P,ل,289,2,282,11
5904,فليكتب,لْ,,IMPV|PREF,P,ل,289,2,282,23
5905,وليملل,لْ,,IMPV|PREF,P,ل,289,2,282,24
5909,وليتق,لْ,,IMPV|PREF,P,ل,289,2,282,28
5930,فليملل,لْ,,IMPV|PREF,P,ل,289,2,282,49
5933,واستشهدوا,ٱسْتَشْهِدُ,شهد,IMPV|VF:10|2MP,V,اسْتَشْهِدُ,289,2,282,52
5989,واشهدوا,أَشْهِدُ,شهد,IMPV|VF:4|2MP,V,أَشْهَدَ,289,2,282,108
6002,واتقوا,ٱتَّقُ,وقي,IMPV|VF:8|2MP,V,اتَّقَى,289,2,282,121
6023,فليؤد,لْ,,IMPV|PREF,P,ل,290,2,283,14
6027,وليتق,لْ,,IMPV|PREF,P,ل,290,2,283,18
6135,واعف,ٱعْفُ,عفو,IMPV|VF:1|2MS,V,عَفا,293,2,286,39
6137,واغفر,ٱغْفِرْ,غفر,IMPV|VF:1|2MS,V,غَفَرَ,293,2,286,41
6139,وارحمنا,ٱرْحَمْ,رحم,IMPV|VF:1|2MS,V,رَحِمَ,293,2,286,43
